AOI Coordinates,2016,2017,2018,2019,2020,2021,2022
"[[[74.67792937305236, 31.913394575025592], [74.68792937305237, 31.913394575025592], [74.68792937305237, 31.923394575025593], [74.67792937305236, 31.923394575025593], [74.67792937305236, 31.913394575025592]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.923394575025593], [74.68792937305237, 31.923394575025593], [74.68792937305237, 31.933394575025595], [74.67792937305236, 31.933394575025595], [74.67792937305236, 31.923394575025593]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.93339457502559], [74.68792937305237, 31.93339457502559], [74.68792937305237, 31.943394575025593], [74.67792937305236, 31.943394575025593], [74.67792937305236, 31.93339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.943394575025593], [74.68792937305237, 31.943394575025593], [74.68792937305237, 31.953394575025595], [74.67792937305236, 31.953394575025595], [74.67792937305236, 31.943394575025593]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.95339457502559], [74.68792937305237, 31.95339457502559], [74.68792937305237, 31.963394575025593], [74.67792937305236, 31.963394575025593], [74.67792937305236, 31.95339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.963394575025593], [74.68792937305237, 31.963394575025593], [74.68792937305237, 31.973394575025594], [74.67792937305236, 31.973394575025594], [74.67792937305236, 31.963394575025593]]]",0.0,0.0,0.0,0.0,0.0,0,0
"[[[74.67792937305236, 31.97339457502559], [74.68792937305237, 31.97339457502559], [74.68792937305237, 31.983394575025592], [74.67792937305236, 31.983394575025592], [74.67792937305236, 31.97339457502559]]]",297.8741455078125,297.6052551269531,297.21868896484375,297.04376220703125,295.5842590332031,0,0
"[[[74.67792937305236, 31.983394575025592], [74.68792937305237, 31.983394575025592], [74.68792937305237, 31.993394575025594], [74.67792937305236, 31.993394575025594], [74.67792937305236, 31.983394575025592]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 31.99339457502559], [74.68792937305237, 31.99339457502559], [74.68792937305237, 32.00339457502559], [74.67792937305236, 32.00339457502559], [74.67792937305236, 31.99339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.003394575025595], [74.68792937305237, 32.003394575025595], [74.68792937305237, 32.01339457502559], [74.67792937305236, 32.01339457502559], [74.67792937305236, 32.003394575025595]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.01339457502559], [74.68792937305237, 32.01339457502559], [74.68792937305237, 32.02339457502559], [74.67792937305236, 32.02339457502559], [74.67792937305236, 32.01339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.02339457502559], [74.68792937305237, 32.02339457502559], [74.68792937305237, 32.03339457502559], [74.67792937305236, 32.03339457502559], [74.67792937305236, 32.02339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.03339457502559], [74.68792937305237, 32.03339457502559], [74.68792937305237, 32.04339457502559], [74.67792937305236, 32.04339457502559], [74.67792937305236, 32.03339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.043394575025594], [74.68792937305237, 32.043394575025594], [74.68792937305237, 32.05339457502559], [74.67792937305236, 32.05339457502559], [74.67792937305236, 32.043394575025594]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.05339457502559], [74.68792937305237, 32.05339457502559], [74.68792937305237, 32.06339457502559], [74.67792937305236, 32.06339457502559], [74.67792937305236, 32.05339457502559]]]",0.0,0.0,0.0,0.0,0.0,0,0
"[[[74.67792937305236, 32.06339457502559], [74.68792937305237, 32.06339457502559], [74.68792937305237, 32.07339457502559], [74.67792937305236, 32.07339457502559], [74.67792937305236, 32.06339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
"[[[74.67792937305236, 32.07339457502559], [74.68792937305237, 32.07339457502559], [74.68792937305237, 32.08339457502559], [74.67792937305236, 32.08339457502559], [74.67792937305236, 32.07339457502559]]]",297.5942687988281,297.2008056640625,296.76165771484375,296.6275634765625,295.19635009765625,0,0
